PLAYER,,OPP,STATUS ET,,C/A,YDS,TD,INT,,RUSH,YDS,TD,,REC,YDS,TD,TAR,,2PC,FUML,TD,,PTS
Jordy Nelson*,,@Chi,W 23-16,,0/0,0,0,0,,0,0,0,,3,20,0,4,,0,0,0,,5
Stephen Anderson,,@LAR,L 7-33,,0/0,0,0,0,,0,0,0,,2,30,0,5,,0,0,0,,5
Marcedes Lewis,,LAC,W 20-17,,0/0,0,0,0,,0,0,0,,2,29,0,5,,0,0,0,,4.9
John Brown,,Sea,L 16-22,,0/0,0,0,0,,0,0,0,,2,27,0,6,,0,0,0,,4.7
Marlon Mack,,Pit,L 17-20,,0/0,0,0,0,,7,7,0,,2,19,0,4,,0,0,0,,4.6
Mike Williams,,@Jax,L 17-20,,0/0,0,0,0,,0,0,0,,2,24,0,2,,0,0,0,,4.4
T.Y. Hilton,,Pit,L 17-20,,0/0,0,0,0,,0,0,0,,2,23,0,4,,0,0,0,,4.3
Cole Beasley*,,@Atl,L 7-27,,0/0,0,0,0,,0,0,0,,2,23,0,3,,0,0,0,,4.3
Daniel Brown,,GB,L 16-23,,0/0,0,0,0,,0,0,0,,2,23,0,3,,0,0,0,,4.3
Benny Cunningham,,GB,L 16-23,,0/0,0,0,0,,1,0,0,,3,32,0,4,,0,1,0,,4.2
Nick Vannett*,,@Ari,W 22-16,,0/0,0,0,0,,0,0,0,,2,22,0,2,,0,0,0,,4.2
Tyler Higbee,,Hou,W 33-7,,0/0,0,0,0,,0,0,0,,2,22,0,4,,0,0,0,,4.2
Brice Butler,,@Atl,L 7-27,,0/0,0,0,0,,0,0,0,,1,30,0,1,,0,0,0,,4
Brandon Coleman,,@Buf,W 47-10,,0/0,0,0,0,,0,0,0,,1,30,0,4,,0,0,0,,4
Jonnu Smith,,Cin,W 24-20,,0/0,0,0,0,,0,0,0,,2,20,0,5,,0,0,0,,4
Eric Decker,,Cin,W 24-20,,0/0,0,0,0,,0,0,0,,2,19,0,3,,0,0,0,,3.9
Devontae Booker,,NE,L 16-41,,0/0,0,0,0,,8,24,0,,1,5,0,1,,0,0,0,,3.9
Jamaal Charles*,,NE,L 16-41,,0/0,0,0,0,,8,38,0,,0,0,0,1,,0,0,0,,3.8
Adam Humphries,,NYJ,W 15-10,,0/0,0,0,0,,0,0,0,,2,17,0,4,,0,0,0,,3.7
James Develin,,@Den,W 41-16,,0/0,0,0,0,,0,0,0,,2,16,0,2,,0,0,0,,3.6
Phillip Dorsett,,@Den,W 41-16,,0/0,0,0,0,,0,0,0,,2,16,0,2,,0,0,0,,3.6
Mike Tolbert,,NO,L 10-47,,0/0,0,0,0,,2,-2,0,,2,17,0,2,,0,0,0,,3.5
Will Fuller V,,@LAR,L 7-33,,0/0,0,0,0,,0,0,0,,2,15,0,3,,0,0,0,,3.5
Ricardo Louis,,@Det,L 24-38,,0/0,0,0,0,,0,0,0,,2,15,0,6,,0,0,0,,3.5
Rob Kelley*,,Min,L 30-38,,0/0,0,0,0,,4,10,0,,2,4,0,2,,0,0,0,,3.4
Charles Clay,,NO,L 10-47,,0/0,0,0,0,,0,0,0,,2,13,0,3,,0,0,0,,3.3
Jaron Brown,,Sea,L 16-22,,0/0,0,0,0,,0,0,0,,2,13,0,6,,0,0,0,,3.3
