PLAYER,,OPP,STATUS ET,,C/A,YDS,TD,INT,,RUSH,YDS,TD,,REC,YDS,TD,TAR,,2PC,FUML,TD,,PTS
Lorenzo Taliaferro,,Cle,W 24-10,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Marion Grice,,@Ind,W 16-13,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Alfred Blue,,@Cin,W 13-9,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Damien Williams*,,@LAC,W 19-17,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Juwan Thompson,,Dal,W 42-17,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Kapri Bibbs,,@LAR,W 27-20,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Antonio Andrews,,@Jax,W 37-16,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Darrin Reaves,,Phi,W 27-20,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Silas Redd,,@LAR,W 27-20,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Ryan Hewitt,,Hou,L 9-13,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Trey Watts,,Wsh,L 20-27,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Austin Johnson,,Chi,W 29-7,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Jay Prosch,,@Cin,W 13-9,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Senorise Perry,,@LAC,W 19-17,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Glenn Winston,,@Bal,L 10-24,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Fitzgerald Toussaint,,Min,W 26-9,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Charcandrick West*,,Phi,W 27-20,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Roosevelt Nix,,Min,W 26-9,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
David Johnson*,,@Ind,W 16-13,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Marcus Murphy,,@Car,L 3-9,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Michael Burton,,@TB,L 7-29,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Jeremy Langford,,Cle,W 24-10,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Malcolm Johnson,,@Sea,L 9-12,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Joey Iosefa,,@NO,W 36-20,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
David Cobb,,@TB,L 7-29,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Karlos Williams,,Min,W 26-9,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Kenny Hilliard,,@LAR,W 27-20,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Josh Robinson,,Ari,L 13-16,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Tyler Varga,,Ari,L 13-16,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
T.J. Yeldon,,Ten,L 16-37,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Matt Jones,,Ari,L 13-16,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Mike Davis,,SF,W 12-9,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Cameron Artis-Payne,,Buf,W 9-3,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Michael Dyer,,NYJ,W 45-20,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
John Crockett,,Cle,W 24-10,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Terrence Magee*,,GB,W 34-23,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Gus Johnson,,Mia,L 17-19,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Zach Zenner,,@NYG,W 24-10,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Terron Ward,,GB,W 34-23,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Jarryd Hayne,,@Sea,L 9-12,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Brandon Wegher,,Wsh,L 20-27,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Alonzo Harris,,@Atl,L 23-34,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Nikita Whitlock,,Det,L 10-24,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Raheem Mostert*,,@Sea,L 9-12,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Trey Williams,,@Den,L 17-42,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Akeem Hunt*,,Phi,W 27-20,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Kenneth Dixon*,,Cle,W 24-10,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Devontae Booker,,Dal,W 42-17,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Jonathan Williams,,NE,L 20-36,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Andy Janovich,,Dal,W 42-17,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Danny Vitale*,,@Bal,L 10-24,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Derek Watt,,Mia,L 17-19,,0/0,0,0,0,,1,0,0,,0,0,0,0,,0,0,0,,0
Kelvin Taylor,,GB,W 34-23,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Darius Jackson*,,@Bal,L 10-24,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Daniel Lasco*,,NE,L 20-36,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Keith Marshall*,,@LAR,W 27-20,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Zac Brooks,,SF,W 12-9,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
