Player,Opp,Yds,TD,Int,Yds,TD,Yds,TD,FumTD,2PT,Lost,Points
Walt Powell WR,Bye,-,-,-,-,-,-,-,-,-,-,-
Kalif Raymond WR - NYG,Bye,-,-,-,-,-,-,-,-,-,-,-
Brandon Reilly WR - BUF,OAK,-,-,-,-,-,-,-,-,-,-,0.00
Josh Reynolds WR - LA,Bye,-,-,-,-,-,-,-,-,-,-,-
Keenan Reynolds WR - WAS,DAL,-,-,-,-,-,-,-,-,-,-,0.00
Allen Robinson WR - JAX,Bye,-,-,-,-,-,-,-,-,-,-,-
Eric Rogers WR,Bye,-,-,-,-,-,-,-,-,-,-,-
Fred Ross WR - CAR,@TB,-,-,-,-,-,-,-,-,-,-,0.00
Jeremy Ross WR,Bye,-,-,-,-,-,-,-,-,-,-,-
Rashad Ross WR - ARI,Bye,-,-,-,-,-,-,-,-,-,-,-
Eddie Royal WR,Bye,-,-,-,-,-,-,-,-,-,-,-
Travis Rudolph WR - NYG,Bye,-,-,-,-,-,-,-,-,-,-,-
Garrett Scantling WR,Bye,-,-,-,-,-,-,-,-,-,-,-
Artavis Scott WR - LAC,@NE,-,-,-,-,-,-,-,-,-,-,0.00
Hunter Sharp WR - NYG,Bye,-,-,-,-,-,-,-,-,-,-,-
Tajae Sharpe WR - TEN,Bye,-,-,-,-,-,-,-,-,-,-,-
Sterling Shepard WR - NYG,Bye,-,-,-,-,-,-,-,-,-,-,-
Cecil Shorts WR,Bye,-,-,-,-,-,-,-,-,-,-,-
DeAndre Smelter WR - SF,@PHI,-,-,-,-,-,-,-,-,-,-,0.00
Devin Smith WR - NYJ,ATL,-,-,-,-,-,-,-,-,-,-,0.00
Tevaun Smith WR - JAX,Bye,-,-,-,-,-,-,-,-,-,-,-
Nelson Spruce WR - CHI,@NO,-,-,-,-,-,-,-,-,-,-,0.00
Rod Streater WR,Bye,-,-,-,-,-,-,-,-,-,-,-
Devin Street WR,Bye,-,-,-,-,-,-,-,-,-,-,-
Damore'ea Stringfellow WR - NYJ,ATL,-,-,-,-,-,-,-,-,-,-,0.00
Jaelen Strong WR - JAX,Bye,-,-,-,-,-,-,-,-,-,-,-
Taywan Taylor WR - TEN,Bye,-,-,-,-,-,-,-,-,-,-,-
Mike Thomas WR - LA View News,Bye,-,-,-,-,-,-,-,-,-,-,-
Kendal Thompson WR,Bye,-,-,-,-,-,-,-,-,-,-,-
