FN,LN,Owner,GP*,Bye,Fan Pts,% Owned,Proj,Actual,Yds,TD,Int,Att*,Yds,TD,Tgt*,Rec,Yds,TD,TD,2PT,Lost
Darrell,Daniels,W (Jan 10),1.0,11,0.00,0%,797,797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colin,Jeter,W (Jan 10),0.0,11,0.00,0%,801,801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taylor,McNamara,W (Jan 10),0.0,9,0.00,0%,806,806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cole,Hikutini,W (Jan 10),1.0,11,0.00,0%,810,810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyler,McCloskey,W (Jan 10),0.0,11,0.00,0%,811,811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony,Firkser,W (Jan 10),0.0,10,0.00,0%,814,814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cethan,Carter,W (Jan 10),1.0,6,0.00,0%,816,816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phillip,Supernaw,W (Jan 10),1.0,8,0.00,0%,823,823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jason,Croom,W (Jan 10),0.0,6,0.00,0%,824,824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Keith,Towbridge,W (Jan 10),1.0,6,0.00,0%,828,828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cooper,Helfet,W (Jan 10),0.0,10,0.00,0%,831,831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron,Peck,W (Jan 10),0.0,8,0.00,0%,833,833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pharaoh,Brown,W (Jan 10),0.0,10,0.00,0%,835,835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony,Kukwa,W (Jan 10),0.0,9,0.00,0%,838,838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew,DePaola,W (Jan 10),0.0,9,0.00,0%,851,851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wyatt,Houston,W (Jan 10),0.0,11,0.00,0%,854,854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
