FN,LN,Owner,GP*,Bye,Fan Pts,% Owned,Proj,Actual,Yds,TD,Int,Att*,Yds,TD,Tgt*,Rec,Yds,TD,TD,2PT,Lost
Andre,Holmes,W (Jan 10),1.0,6,4.20,0%,295,295,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.6,24.8,0.2,0.0,0.0,0.0
Chris,Godwin,W (Jan 10),1.0,1,4.20,1%,296,296,0.0,0.0,0.0,0.0,0.0,0.0,3.1,1.6,23.5,0.2,0.0,0.0,0.0
Bruce,Ellington,W (Jan 10),1.0,7,4.17,0%,297,297,0.0,0.0,0.0,0.0,0.0,0.0,4.1,2.2,24.4,0.1,0.0,0.0,0.0
Cordarrelle,Patterson,W (Jan 10),1.0,10,3.95,3%,298,298,0.0,0.0,0.0,0.7,3.8,0.0,2.4,1.8,17.6,0.1,0.1,0.0,0.0
Albert,Wilson,W (Jan 10),1.0,10,3.80,0%,302,302,0.0,0.0,0.0,0.4,1.8,0.0,3.4,2.1,21.3,0.1,0.0,0.0,0.0
Roger,Lewis,W (Jan 10),1.0,8,3.56,0%,306,306,0.0,0.0,0.0,0.0,0.0,0.0,3.3,1.7,20.7,0.1,0.0,0.0,0.0
Mack,Hollins,W (Jan 10),1.0,10,3.22,0%,310,310,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1.1,19.9,0.1,0.0,0.0,0.0
ArDarius,Stewart,W (Jan 10),1.0,11,3.17,0%,312,312,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.2,19.0,0.1,0.0,0.0,0.0
Trent,Taylor,W (Jan 10),1.0,11,3.15,0%,313,313,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.5,18.5,0.1,0.0,0.0,0.0
Tavon,Austin,W (Jan 10),1.0,8,3.10,4%,314,314,0.0,0.0,0.0,0.7,4.3,0.0,2.0,1.3,13.1,0.1,0.0,0.0,0.0
Brice,Butler,W (Jan 10),1.0,6,3.03,0%,317,317,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.1,16.2,0.1,0.0,0.0,0.0
Seth,Roberts,W (Jan 10),1.0,10,2.99,1%,320,320,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1.4,15.9,0.1,0.0,0.0,0.0
Adam,Humphries,W (Jan 10),1.0,1,2.81,0%,322,322,0.0,0.0,0.0,0.0,0.3,0.0,2.6,1.5,15.9,0.1,0.0,0.0,0.0
Keelan,Cole,Shen Sucks YoungHoe!,1.0,8,2.41,0%,324,324,0.0,0.0,0.0,0.0,0.0,0.0,2.9,2.1,13.4,0.0,0.0,0.0,0.0
Michael,Campanaro,W (Jan 10),1.0,10,2.33,0%,326,326,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1.1,14.8,0.0,0.0,0.0,0.0
Jarius,Wright,W (Jan 10),1.0,9,2.27,0%,328,328,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.2,13.3,0.1,0.0,0.0,0.0
Brian,Quick,W (Jan 10),1.0,5,2.13,0%,330,330,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.0,12.3,0.1,0.0,0.0,0.0
Dontrelle,Inman,W (Jan 10),1.0,9,1.89,0%,335,335,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.9,12.3,0.0,0.0,0.0,0.0
Tyler,Boyd,W (Jan 10),1.0,6,1.86,1%,336,336,0.0,0.0,0.0,0.2,0.8,0.0,1.4,0.8,10.7,0.1,0.0,0.0,0.0
Cody,Core,W (Jan 10),1.0,6,1.75,0%,339,339,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.9,11.1,0.0,0.0,0.0,0.0
